station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,mslp,alti
NUI,2026-09-21 11:45,-76.4285,38.1460,6.70,70.00,65.00,84.18,M,4.00,M,29.96
EDDL,2026-09-21 11:50,6.7692,51.2975,44.00,64.40,50.00,59.52,310.00,11.00,M,30.45
EDDN,2026-09-21 11:50,11.0550,49.5030,312.00,59.00,46.40,62.93,320.00,12.00,M,30.42
EDHL,2026-09-21 11:50,10.7192,53.8054,16.00,60.80,46.40,59.02,290.00,12.00,M,30.24
EDQM,2026-09-21 11:50,11.8775,50.3133,568.00,55.40,46.40,71.65,280.00,8.00,M,30.36
USE,2026-09-21 11:50,-84.1272,41.6101,234.92,55.40,55.40,100.00,40.00,8.00,M,30.10
PWM,2026-09-21 11:51,-70.3044,43.6424,19.00,52.00,49.00,89.46,340.00,8.00,1019.60,30.11
CLE,2026-09-21 11:51,-81.8519,41.4056,237.00,61.00,44.00,53.50,50.00,10.00,1019.70,30.07
IAD,2026-09-21 11:52,-77.4473,38.9348,98.00,67.00,62.00,83.99,30.00,8.00,1016.80,30.04
ORE,2026-09-21 11:52,-72.2886,42.5701,164.00,53.00,50.00,89.51,350.00,6.00,1020.00,30.12
UNV,2026-09-21 11:53,-77.8500,40.8500,378.00,55.40,51.80,87.65,20.00,6.00,M,30.12
POU,2026-09-21 11:53,-73.8842,41.6266,51.00,57.00,53.00,86.46,10.00,9.00,1018.50,30.09
MRB,2026-09-21 11:53,-77.9847,39.4019,170.00,66.00,59.00,78.16,40.00,4.00,1017.10,30.05
PEO,2026-09-21 11:53,-77.0529,42.6441,267.00,52.00,50.00,92.86,M,4.00,1022.30,30.19
ACK,2026-09-21 11:53,-70.0603,41.2531,15.00,62.00,61.00,96.53,30.00,14.00,1015.90,30.00
DFI,2026-09-21 11:53,-84.4288,41.3375,219.00,58.00,54.00,86.51,50.00,8.00,1019.10,30.10
BVY,2026-09-21 11:53,-70.9161,42.5841,33.00,53.60,51.80,93.60,10.00,5.00,M,M
PTW,2026-09-21 11:54,-75.5572,40.2383,94.00,63.00,59.00,86.79,10.00,4.00,1017.80,30.07
ROA,2026-09-21 11:54,-79.9737,37.3172,344.71,72.00,67.00,84.30,50.00,3.00,1016.20,30.05
SYR,2026-09-21 11:54,-76.1063,43.1112,124.00,51.00,49.00,92.83,350.00,6.00,1022.10,30.19
DYL,2026-09-21 11:54,-75.1223,40.3331,120.00,63.00,61.00,93.19,40.00,5.00,1017.00,30.04
LDJ,2026-09-21 11:55,-74.2446,40.6174,7.00,61.70,55.00,78.65,40.00,8.00,M,30.05
MKJ,2026-09-21 11:55,-81.3499,36.8949,780.00,61.70,59.00,90.85,0.00,0.00,M,30.11
1P1,2026-09-21 11:55,-71.7537,43.7792,153.90,46.40,46.00,98.50,0.00,0.00,M,30.14
CGE,2026-09-21 11:55,-76.0304,38.5393,5.80,68.00,64.40,88.28,30.00,11.00,M,30.01
PSK,2026-09-21 11:55,-80.6785,37.1373,642.00,63.00,62.60,98.60,0.00,0.00,M,30.06
UNI,2026-09-21 11:55,-82.2293,39.2119,233.50,68.00,68.00,100.00,0.00,0.00,M,29.99
W31,2026-09-21 11:55,-78.1850,36.9601,156.78,69.80,69.80,100.00,350.00,3.00,M,29.99
8W2,2026-09-21 11:55,-78.7081,38.6557,289.74,67.00,64.00,90.10,20.00,7.00,M,30.04
I68,2026-09-21 11:55,-84.2532,39.4664,272.75,62.60,62.60,100.00,40.00,8.00,M,29.98
OIC,2026-09-21 11:55,-75.5241,42.5666,306.80,48.20,48.20,100.00,10.00,7.00,M,30.16
EDJ,2026-09-21 11:55,-83.8192,40.3723,342.00,55.40,55.40,100.00,60.00,10.00,M,30.06
7W4,2026-09-21 11:55,-77.7459,37.9658,104.05,69.00,67.50,94.98,10.00,3.00,M,30.02
4MD,2026-09-21 11:55,-76.5725,39.2709,1.00,68.00,61.70,80.29,20.00,9.00,M,30.03
ETIC,2026-09-21 11:55,11.9402,49.6987,415.00,57.20,42.60,58.08,290.00,9.00,1028.70,30.36
LKP,2026-09-21 11:55,-73.9618,44.2645,531.00,42.80,42.80,100.00,M,1.00,M,30.19
UCP,2026-09-21 11:56,-80.4134,41.0253,326.70,58.00,51.00,77.47,60.00,9.00,1019.50,30.07
HEF,2026-09-21 11:56,-77.5154,38.7214,59.00,70.00,66.00,87.16,60.00,6.00,1017.30,30.03
BID,2026-09-21 11:56,-71.5800,41.1700,33.00,59.00,56.00,89.77,20.00,18.00,1016.50,30.02
AFJ,2026-09-21 11:56,-80.2850,40.1363,357.00,63.00,63.00,100.00,60.00,5.00,1016.80,30.04
I69,2026-09-21 11:56,-84.2102,39.0784,252.27,65.70,65.70,100.00,100.00,3.00,M,29.99
MPSM,2026-09-21 12:00,-80.1297,8.3800,33.10,75.20,73.40,94.16,10.00,4.00,M,29.83
CWWB,2026-09-21 12:00,-79.7912,43.3002,76.00,56.50,47.00,70.42,30.00,19.00,1023.40,M
CYPH,2026-09-21 12:00,-78.0769,58.4719,3.00,35.60,35.60,100.00,0.00,0.00,1022.60,30.19
