station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KIAD,2026-09-21 12:00:00,4,1006.0,93.0,19.8,17.4,20.0,9,M,M
KIAD,2026-09-21 12:00:00,4,1000.0,139.0,19.0,16.6,30.0,9,M,M
KIAD,2026-09-21 12:00:00,4,980.81,305.0,17.56,15.98,20.0,13,M,M
KIAD,2026-09-21 12:00:00,4,963.0,462.03,16.2,15.4,M,M,M,M
KIAD,2026-09-21 12:00:00,4,946.41,610.0,15.69,15.4,45.0,12,M,M
KIAD,2026-09-21 12:00:00,4,937.0,695.07,15.4,15.4,M,M,M,M
KIAD,2026-09-21 12:00:00,4,931.0,749.81,16.6,15.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,925.0,805.0,16.4,15.2,0.0,12,M,M
KIAD,2026-09-21 12:00:00,4,918.0,869.84,16.0,15.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,914.0,907.17,17.2,15.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,913.27,914.0,17.18,15.26,0.0,10,M,M
KIAD,2026-09-21 12:00:00,4,905.0,991.91,17.0,14.8,M,M,M,M
KIAD,2026-09-21 12:00:00,4,888.0,1153.97,16.0,15.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,883.0,1202.18,16.4,14.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,881.26,1219.0,16.32,14.26,325.0,14,M,M
KIAD,2026-09-21 12:00:00,4,870.0,1328.73,15.8,14.0,M,M,M,M
KIAD,2026-09-21 12:00:00,4,867.0,1358.18,16.0,13.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,850.3,1524.0,15.8,13.31,280.0,14,M,M
KIAD,2026-09-21 12:00:00,4,850.0,1527.0,15.8,13.3,275.0,15,M,M
KIAD,2026-09-21 12:00:00,4,849.0,1537.03,15.8,13.2,M,M,M,M
KIAD,2026-09-21 12:00:00,4,831.0,1719.22,14.6,12.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,820.32,1829.0,15.06,10.85,285.0,20,M,M
KIAD,2026-09-21 12:00:00,4,817.0,1863.46,15.2,10.2,M,M,M,M
KIAD,2026-09-21 12:00:00,4,807.0,1967.91,14.4,9.8,M,M,M,M
KIAD,2026-09-21 12:00:00,4,798.0,2062.8,14.0,8.0,M,M,M,M
KIAD,2026-09-21 12:00:00,4,793.0,2115.88,13.6,7.6,M,M,M,M
KIAD,2026-09-21 12:00:00,4,791.3,2134.0,13.4,8.11,285.0,22,M,M
