station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,1014.0,20.0,15.4,14.9,45.0,4,M,M
KOKX,2026-09-21 12:00:00,4,1009.0,61.31,14.8,14.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,1002.0,119.35,14.2,13.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,1000.0,136.0,14.4,13.9,10.0,19,M,M
KOKX,2026-09-21 12:00:00,4,980.19,305.0,13.47,13.11,15.0,21,M,M
KOKX,2026-09-21 12:00:00,4,958.0,498.38,12.4,12.2,M,M,M,M
KOKX,2026-09-21 12:00:00,4,950.0,568.95,12.4,12.2,M,M,M,M
KOKX,2026-09-21 12:00:00,4,945.39,610.0,12.66,12.49,35.0,26,M,M
KOKX,2026-09-21 12:00:00,4,925.0,794.0,13.8,13.8,50.0,21,M,M
KOKX,2026-09-21 12:00:00,4,912.0,913.31,13.4,13.4,M,M,M,M
KOKX,2026-09-21 12:00:00,4,911.93,914.0,13.4,13.4,40.0,18,M,M
KOKX,2026-09-21 12:00:00,4,904.0,987.56,13.6,13.6,M,M,M,M
KOKX,2026-09-21 12:00:00,4,889.0,1128.28,12.4,11.8,M,M,M,M
KOKX,2026-09-21 12:00:00,4,879.45,1219.0,12.65,12.12,20.0,16,M,M
KOKX,2026-09-21 12:00:00,4,874.0,1271.17,12.8,12.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,866.0,1348.36,12.2,11.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,860.0,1406.71,12.8,11.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,859.0,1416.49,12.8,11.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,850.0,1505.0,12.8,11.9,330.0,10,M,M
KOKX,2026-09-21 12:00:00,4,848.08,1524.0,12.74,11.85,325.0,8,M,M
KOKX,2026-09-21 12:00:00,4,838.0,1624.71,12.4,11.6,M,M,M,M
KOKX,2026-09-21 12:00:00,4,824.0,1766.18,11.4,10.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,817.83,1829.0,11.15,9.91,310.0,7,M,M
KOKX,2026-09-21 12:00:00,4,795.0,2065.76,10.2,9.2,M,M,M,M
KOKX,2026-09-21 12:00:00,4,788.5,2134.0,9.95,8.75,300.0,12,M,M
KOKX,2026-09-21 12:00:00,4,760.19,2438.0,8.82,6.74,285.0,10,M,M
KOKX,2026-09-21 12:00:00,4,750.0,2550.18,8.4,6.0,M,M,M,M
KOKX,2026-09-21 12:00:00,4,743.0,2627.86,8.4,6.0,M,M,M,M
KOKX,2026-09-21 12:00:00,4,732.73,2743.0,7.99,6.05,290.0,12,M,M
KOKX,2026-09-21 12:00:00,4,723.0,2853.6,7.6,6.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,709.0,3014.88,6.8,4.4,M,M,M,M
KOKX,2026-09-21 12:00:00,4,706.15,3048.0,6.67,4.34,285.0,14,M,M
KOKX,2026-09-21 12:00:00,4,700.0,3120.0,6.4,4.2,285.0,15,M,M
KOKX,2026-09-21 12:00:00,4,680.31,3353.0,4.98,3.02,280.0,15,M,M
